Individual,Trial,Predator,Circle,Initial ,Total ,Treatment,Scale Time,EscapeResponse,ColourDiffPercent,Colour Diff,Brightness D,Brightness.DifferencePercent,Avg Time,Weber Contrast
53,4,N,Y,84,89,NY,2,SLOW,3.6090631,0.036090631,15744.63333,24.02477048,86.5,-0.864624504
54,1,P,B,1,2,PB,1,FAST,10.8532685,0.108532685,2265.169667,3.456427354,1.5,-0.439567859
54,2,N,B,1,2,NB,1,FAST,10.8532685,0.108532685,2265.169667,3.456427354,1.5,-0.439567859
54,3,P,Y,1,2,PY,1,FAST,8.2583317,0.082583317,9572.401667,14.60654866,1.5,-0.768289964
54,4,N,Y,1,4,NY,1,FAST,8.2583317,0.082583317,9572.401667,14.60654866,2.5,-0.768289964
55,1,P,B,2,3,PB,1,FAST,13.8000468,0.138000468,1535.916667,2.343658605,2.5,-0.343378691
55,2,N,B,1,2,NB,1,FAST,13.8000468,0.138000468,1535.916667,2.343658605,1.5,-0.343378691
55,3,P,Y,2,4,PY,1,FAST,7.4837533,0.074837533,8068.489333,12.31172554,3,-0.733235061
55,4,N,Y,1,2,NY,1,FAST,7.4837533,0.074837533,8068.489333,12.31172554,1.5,-0.733235061
56,1,P,B,3,8,PB,1,FAST,11.9265896,0.119265896,2981.089,4.548850233,5.5,-0.657176367
56,2,N,B,20,24,NB,2,SLOW,11.9265896,0.119265896,2981.089,4.548850233,22,-0.657176367
56,3,P,Y,2,8,PY,1,FAST,8.5453582,0.085453582,9655.636333,14.73355662,5,-0.86131834
56,4,N,Y,3,6,NY,1,FAST,8.5453582,0.085453582,9655.636333,14.73355662,4.5,-0.86131834
57,1,P,B,1,3,PB,1,FAST,23.8109431,0.238109431,1589.271667,2.425073116,2,-0.35473491
57,2,N,B,1,2,NB,1,FAST,23.8109431,0.238109431,1589.271667,2.425073116,1.5,-0.35473491
57,3,P,Y,3,4,PY,1,FAST,5.1509207,0.051509207,15417.07167,23.52494341,3.5,-0.842183073
57,4,N,Y,15,16,NY,2,SLOW,5.1509207,0.051509207,15417.07167,23.52494341,15.5,-0.842183073
58,1,P,B,11,13,PB,2,SLOW,16.3012994,0.163012994,1719.283667,2.623458712,12,-0.374002202
58,2,N,B,180,190,NB,2,SLOW,16.3012994,0.163012994,1719.283667,2.623458712,185,-0.374002202
58,3,P,Y,1,2,PY,1,FAST,3.8446007,0.038446007,7774.618,11.86330663,1.5,-0.729955932
58,4,N,Y,98,100,NY,2,SLOW,3.8446007,0.038446007,7774.618,11.86330663,99,-0.729955932
59,1,P,B,1,2,PB,1,FAST,8.4720457,0.084720457,2272.030333,3.466896061,1.5,-0.461861272
59,2,N,B,1,2,NB,1,FAST,8.4720457,0.084720457,2272.030333,3.466896061,1.5,-0.461861272
59,3,P,Y,2,7,PY,1,FAST,11.8306479,0.118306479,8707.901,13.2874052,4.5,-0.766931268
59,4,N,Y,153,155,NY,2,SLOW,11.8306479,0.118306479,8707.901,13.2874052,154,-0.766931268
60,1,P,B,1,2,PB,1,FAST,18.7876407,0.187876407,7635.327,11.65076219,1.5,1.95018925
60,2,N,B,18,24,NB,2,SLOW,18.7876407,0.187876407,7635.327,11.65076219,21,1.95018925
60,3,P,Y,2,3,PY,1,FAST,2.6130109,0.026130109,3773.884667,5.758578876,2.5,-0.246272126
60,4,N,Y,34,36,NY,2,SLOW,2.6130109,0.026130109,3773.884667,5.758578876,35,-0.246272126
61,1,P,B,52,55,PB,2,SLOW,26.2683218,0.262683218,7.569,0.011549554,53.5,0.001835278
61,2,N,B,264,266,NB,2,SLOW,26.2683218,0.262683218,7.569,0.011549554,265,0.001835278
61,3,P,Y,31,35,PY,2,SLOW,9.5961968,0.095961968,11562.42333,17.64312708,33,-0.704228068
61,4,N,Y,26,0,NY,2,SLOW,9.5961968,0.095961968,11562.42333,17.64312708,13,-0.704228068
62,1,P,B,1,2,PB,1,FAST,12.7864977,0.127864977,2069.695,3.158152132,1.5,-0.444205038
62,2,N,B,85,88,NB,2,SLOW,12.7864977,0.127864977,2069.695,3.158152132,86.5,-0.444205038
62,3,P,Y,1,2,PY,1,FAST,6.4208448,0.064208448,14701.84833,22.43358256,1.5,-0.850285393
62,4,N,Y,20,22,NY,2,SLOW,6.4208448,0.064208448,14701.84833,22.43358256,21,-0.850285393
63,1,P,B,1,2,PB,1,FAST,13.2770767,0.132770767,2054.177,3.134473182,1.5,-0.443286597
63,2,N,B,2,3,NB,1,FAST,13.2770767,0.132770767,2054.177,3.134473182,2.5,-0.443286597
63,3,P,Y,1,2,PY,1,FAST,6.6868315,0.066868315,8421.404667,12.85023982,1.5,-0.765575599
63,4,N,Y,1,2,NY,1,FAST,6.6868315,0.066868315,8421.404667,12.85023982,1.5,-0.765575599
64,1,P,B,15,16,PB,2,SLOW,21.4347748,0.214347748,5186.033,7.91337911,15.5,1.418474179
64,2,N,B,121,123,NB,2,SLOW,21.4347748,0.214347748,5186.033,7.91337911,122,1.418474179
64,3,P,Y,3,7,PY,1,FAST,3.0217989,0.030217989,9253.476333,14.1198998,5,-0.511343973
64,4,N,Y,60,63,NY,2,SLOW,3.0217989,0.030217989,9253.476333,14.1198998,61.5,-0.511343973
66,1,P,B,1,2,PB,1,FAST,11.8213653,0.118213653,2619.041667,3.996401414,1.5,-0.594436118
66,2,N,B,10,12,NB,2,SLOW,11.8213653,0.118213653,2619.041667,3.996401414,11,-0.594436118
66,3,P,Y,2,3,PY,1,FAST,8.1539077,0.081539077,16516.175,25.2020676,2.5,-0.902399132
66,4,N,Y,4,6,NY,1,FAST,8.1539077,0.081539077,16516.175,25.2020676,5,-0.902399132
67,1,P,B,3,11,PB,1,FAST,17.5918175,0.175918175,3422.421667,5.222280715,7,0.70051697
67,2,N,B,23,24,NB,2,SLOW,17.5918175,0.175918175,3422.421667,5.222280715,23.5,0.70051697
67,3,P,Y,1,3,PY,1,FAST,1.3313734,0.013313734,7535.024,11.49770962,2,-0.475543228
67,4,N,Y,4,5,NY,1,FAST,1.3313734,0.013313734,7535.024,11.49770962,4.5,-0.475543228
68,1,P,B,3,5,PB,1,FAST,14.427116,0.14427116,219.979,0.335666438,4,0.037099852
68,2,N,B,1,4,NB,1,FAST,14.427116,0.14427116,219.979,0.335666438,2.5,0.037099852
68,3,P,Y,2,3,PY,1,FAST,4.2633608,0.042633608,12236.60067,18.67185575,2.5,-0.664671253
68,4,N,Y,24,35,NY,2,SLOW,4.2633608,0.042633608,12236.60067,18.67185575,29.5,-0.664671253
69,1,P,B,2,4,PB,1,FAST,22.1607721,0.221607721,2132.011667,3.253241271,3,-0.471621652
69,2,N,B,15,17,NB,2,SLOW,22.1607721,0.221607721,2132.011667,3.253241271,16,-0.471621652
69,3,P,Y,2,3,PY,1,FAST,4.3126505,0.043126505,12959.28133,19.77459576,2.5,-0.844430484
69,4,N,Y,19,21,NY,2,SLOW,4.3126505,0.043126505,12959.28133,19.77459576,20,-0.844430484
70,1,P,B,1,2,PB,1,FAST,17.6142397,0.176142397,2230.572333,3.403635208,1.5,0.480368244
70,2,N,B,1,4,NB,1,FAST,17.6142397,0.176142397,2230.572333,3.403635208,2.5,0.480368244
70,3,P,Y,1,2,PY,1,FAST,2.2455637,0.022455637,8063.443667,12.30402635,1.5,-0.539728717
70,4,N,Y,25,26,NY,2,SLOW,2.2455637,0.022455637,8063.443667,12.30402635,25.5,-0.539728717
71,1,P,B,1,2,PB,1,FAST,7.7772633,0.077772633,989.449,1.509802396,1.5,-0.235394323
71,2,N,B,1,2,NB,1,FAST,7.7772633,0.077772633,989.449,1.509802396,1.5,-0.235394323
71,3,P,Y,1,3,PY,1,FAST,14.1196341,0.141196341,7389.926667,11.27630528,2,-0.697021583
71,4,N,Y,2,4,NY,1,FAST,14.1196341,0.141196341,7389.926667,11.27630528,3,-0.697021583
72,1,P,B,3,4,PB,1,FAST,10.1289748,0.101289748,4927.247,7.518496986,3.5,-0.736196202
72,2,N,B,1,17,NB,1,FAST,10.1289748,0.101289748,4927.247,7.518496986,9,-0.736196202
72,3,P,Y,1,2,PY,1,FAST,7.5600354,0.075600354,17713.19667,27.02860558,1.5,-0.909377499
72,4,N,Y,1,2,NY,1,FAST,7.5600354,0.075600354,17713.19667,27.02860558,1.5,-0.909377499
73,1,P,B,1,2,PB,1,FAST,20.3029958,0.203029958,5442.850333,8.305257242,1.5,1.295013498
73,2,N,B,1,2,NB,1,FAST,20.3029958,0.203029958,5442.850333,8.305257242,1.5,1.295013498
73,3,P,Y,1,2,PY,1,FAST,2.6340783,0.026340783,9557.079,14.58316777,1.5,-0.497661849
73,4,N,Y,1,2,NY,1,FAST,2.6340783,0.026340783,9557.079,14.58316777,1.5,-0.497661849
74,1,P,B,10,12,PB,2,SLOW,16.1409419,0.161409419,1599.719,2.441014725,11,-0.407241936
74,2,N,B,1,2,NB,1,FAST,16.1409419,0.161409419,1599.719,2.441014725,1.5,-0.407241936
74,3,P,Y,1,2,PY,1,FAST,6.8462318,0.068462318,19218.19933,29.32509244,1.5,-0.891978517
74,4,N,Y,1,5,NY,1,FAST,6.8462318,0.068462318,19218.19933,29.32509244,3,-0.891978517
75,1,P,B,1,5,PB,1,FAST,24.7029366,0.247029366,3014.569667,4.599938455,3,-0.670219412
75,2,N,B,8,9,NB,1,FAST,24.7029366,0.247029366,3014.569667,4.599938455,8.5,-0.670219412
75,3,P,Y,2,5,PY,1,FAST,6.9397947,0.069397947,16080.06333,24.53660385,3.5,-0.915571703
75,4,N,Y,1,2,NY,1,FAST,6.9397947,0.069397947,16080.06333,24.53660385,1.5,-0.915571703
76,1,P,B,1,2,PB,1,FAST,18.4671062,0.184671062,10230.516,15.61076677,1.5,2.918871934
76,2,N,B,1,2,NB,1,FAST,18.4671062,0.184671062,10230.516,15.61076677,1.5,2.918871934
76,3,P,Y,1,2,PY,1,FAST,3.389586,0.03389586,4594.932667,7.011417817,1.5,-0.250691236
76,4,N,Y,1,2,NY,1,FAST,3.389586,0.03389586,4594.932667,7.011417817,1.5,-0.250691236
77,1,P,B,1,2,PB,1,FAST,18.5442055,0.185442055,3187.721333,4.864150963,1.5,0.69452807
77,2,N,B,1,2,NB,1,FAST,18.5442055,0.185442055,3187.721333,4.864150963,1.5,0.69452807
77,3,P,Y,1,2,PY,1,FAST,3.4467965,0.034467965,10955.056,16.71634394,1.5,-0.584764733
77,4,N,Y,25,27,NY,2,SLOW,3.4467965,0.034467965,10955.056,16.71634394,26,-0.584764733
78,1,P,B,11,12,PB,2,SLOW,23.6794693,0.236794693,2578.386667,3.93436586,11.5,-0.453438936
78,2,N,B,1,2,NB,1,FAST,23.6794693,0.236794693,2578.386667,3.93436586,1.5,-0.453438936
78,3,P,Y,1,2,PY,1,FAST,5.1034722,0.051034722,16695.56867,25.47580479,1.5,-0.843129648
78,4,N,Y,4,7,NY,1,FAST,5.1034722,0.051034722,16695.56867,25.47580479,5.5,-0.843129648
79,1,P,B,2,3,PB,1,FAST,21.3993108,0.213993108,2923.111,4.460381476,2.5,-0.650654534
79,2,N,B,1,2,NB,1,FAST,21.3993108,0.213993108,2923.111,4.460381476,1.5,-0.650654534
79,3,P,Y,1,2,PY,1,FAST,4.1637597,0.041637597,16555.23767,25.26167341,1.5,-0.913434961
79,4,N,Y,267,269,NY,2,SLOW,4.1637597,0.041637597,16555.23767,25.26167341,268,-0.913434961
80,1,P,B,1,2,PB,1,FAST,25.0655131,0.250655131,1821.416,2.779302663,1.5,-0.411881216
80,2,N,B,2,3,NB,1,FAST,25.0655131,0.250655131,1821.416,2.779302663,2.5,-0.411881216
80,3,P,Y,2,3,PY,1,FAST,5.6102881,0.056102881,15293.489,23.33636835,2.5,-0.854731419
80,4,N,Y,1,2,NY,1,FAST,5.6102881,0.056102881,15293.489,23.33636835,1.5,-0.854731419
81,1,P,B,1,2,PB,1,FAST,24.4469281,0.244469281,1282.096,1.956353094,1.5,-0.325479944
81,2,N,B,1,2,NB,1,FAST,24.4469281,0.244469281,1282.096,1.956353094,1.5,-0.325479944
81,3,P,Y,1,2,PY,1,FAST,3.4992736,0.034992736,16118.56233,24.59534956,1.5,-0.85858017
81,4,N,Y,1,2,NY,1,FAST,3.4992736,0.034992736,16118.56233,24.59534956,1.5,-0.85858017
82,1,P,B,23,32,PB,2,SLOW,13.8028075,0.138028075,3937.198667,6.007780067,27.5,-0.625307769
82,2,N,B,14,16,NB,2,SLOW,13.8028075,0.138028075,3937.198667,6.007780067,15,-0.625307769
82,3,P,Y,8,10,PY,1,FAST,6.0053407,0.060053407,17784.342,27.1371664,9,-0.882911834
82,4,N,Y,20,23,NY,2,SLOW,6.0053407,0.060053407,17784.342,27.1371664,21.5,-0.882911834
83,1,P,B,4,5,PB,1,FAST,18.4888694,0.184888694,3402.49,5.191866941,4.5,-0.731056346
83,2,N,B,25,26,NB,2,SLOW,18.4888694,0.184888694,3402.49,5.191866941,25.5,-0.731056346
83,3,P,Y,1,2,PY,1,FAST,1.96993,0.0196993,17501.439,26.70548409,1.5,-0.933271497
83,4,N,Y,1,2,NY,1,FAST,1.96993,0.0196993,17501.439,26.70548409,1.5,-0.933271497
84,1,P,B,1,2,PB,1,FAST,27.2352562,0.272352562,3333.354,5.086372168,1.5,-0.711612257
84,2,N,B,12,13,NB,2,SLOW,27.2352562,0.272352562,3333.354,5.086372168,12.5,-0.711612257
84,3,P,Y,2,3,PY,1,FAST,6.6800284,0.066800284,17230.159,26.29153735,2.5,-0.927321196
84,4,N,Y,52,54,NY,2,SLOW,6.6800284,0.066800284,17230.159,26.29153735,53,-0.927321196
86,1,P,B,2,4,PB,1,FAST,20.1193501,0.201193501,8.711333333,0.013292643,3,0.001749711
86,2,N,B,8,9,NB,1,FAST,20.1193501,0.201193501,8.711333333,0.013292643,8.5,0.001749711
86,3,P,Y,1,6,PY,1,FAST,3.9116659,0.039116659,14880.78833,22.7066275,3.5,-0.725724428
86,4,N,Y,44,46,NY,2,SLOW,3.9116659,0.039116659,14880.78833,22.7066275,45,-0.725724428
87,1,P,B,1,3,PB,1,FAST,20.9403375,0.209403375,2667.118333,4.069761705,2,0.645334578
87,2,N,B,1,4,NB,1,FAST,20.9403375,0.209403375,2667.118333,4.069761705,2.5,0.645334578
87,3,P,Y,6,9,PY,1,FAST,3.5681887,0.035681887,11664.57867,17.79900613,7.5,-0.631657687
87,4,N,Y,5,9,NY,1,FAST,3.5681887,0.035681887,11664.57867,17.79900613,7,-0.631657687
88,1,P,B,2,4,PB,1,FAST,16.6723468,0.166723468,1877.780667,2.865309631,3,-0.426277775
88,2,N,B,12,13,NB,2,SLOW,16.6723468,0.166723468,1877.780667,2.865309631,12.5,-0.426277775
88,3,P,Y,1,3,PY,1,FAST,4.4469959,0.044469959,15909.95033,24.27702805,2,-0.862981852
88,4,N,Y,11,15,NY,2,SLOW,4.4469959,0.044469959,15909.95033,24.27702805,13,-0.862981852
89,1,P,B,11,12,PB,2,SLOW,18.202531,0.18202531,635.2316667,0.969301391,11.5,0.173200453
89,2,N,B,8,10,NB,1,FAST,18.202531,0.18202531,635.2316667,0.969301391,9,0.173200453
89,3,P,Y,1,2,PY,1,FAST,2.4480341,0.024480341,15279.07567,23.31437502,1.5,-0.780075084
89,4,N,Y,1,5,NY,1,FAST,2.4480341,0.024480341,15279.07567,23.31437502,3,-0.780075084
90,1,P,B,1,2,PB,1,FAST,19.9303238,0.199303238,3065.429,4.677544823,1.5,-0.767844744
90,2,N,B,9,10,NB,1,FAST,19.9303238,0.199303238,3065.429,4.677544823,9.5,-0.767844744
90,3,P,Y,1,2,PY,1,FAST,2.0198693,0.020198693,17539.345,26.76332494,1.5,-0.949824274
90,4,N,Y,33,35,NY,2,SLOW,2.0198693,0.020198693,17539.345,26.76332494,34,-0.949824274
91,1,P,B,2,3,PB,1,FAST,29.5417765,0.295417765,1713.187333,2.614156303,2.5,-0.382132249
91,2,N,B,17,18,NB,2,SLOW,29.5417765,0.295417765,1713.187333,2.614156303,17.5,-0.382132249
91,3,P,Y,2,3,PY,1,FAST,9.8931852,0.098931852,15699.198,23.9554406,2.5,-0.850106477
91,4,N,Y,83,84,NY,2,SLOW,9.8931852,0.098931852,15699.198,23.9554406,83.5,-0.850106477
92,1,P,B,2,3,PB,1,FAST,30.2608455,0.302608455,2535.253,3.868548104,2.5,-0.544917443
92,2,N,B,13,14,NB,2,SLOW,30.2608455,0.302608455,2535.253,3.868548104,13.5,-0.544917443
92,3,P,Y,2,3,PY,1,FAST,10.4542012,0.104542012,16353.91667,24.95447725,2.5,-0.885421087
92,4,N,Y,8,11,NY,1,FAST,10.4542012,0.104542012,16353.91667,24.95447725,9.5,-0.885421087
93,1,P,B,1,3,PB,1,FAST,17.0871224,0.170871224,1100.04,1.678553445,2,-0.297573891
93,2,N,B,1,2,NB,1,FAST,17.0871224,0.170871224,1100.04,1.678553445,1.5,-0.297573891
93,3,P,Y,1,3,PY,1,FAST,5.7928077,0.057928077,14910.18133,22.75147834,2,-0.851756341
93,4,N,Y,1,2,NY,1,FAST,5.7928077,0.057928077,14910.18133,22.75147834,1.5,-0.851756341
94,1,P,B,1,2,PB,1,FAST,29.420005,0.29420005,2200.991,3.358496986,1.5,-0.533454588
94,2,N,B,1,2,NB,1,FAST,29.420005,0.29420005,2200.991,3.358496986,1.5,-0.533454588
94,3,P,Y,1,2,PY,1,FAST,8.597798,0.08597798,16886.735,25.76750591,1.5,-0.897719279
94,4,N,Y,1,3,NY,1,FAST,8.597798,0.08597798,16886.735,25.76750591,2,-0.897719279
95,1,P,B,2,3,PB,1,FAST,25.5424053,0.255424053,929.669,1.418583963,2.5,-0.228684904
95,2,N,B,70,73,NB,2,SLOW,25.5424053,0.255424053,929.669,1.418583963,71.5,-0.228684904
95,3,P,Y,2,3,PY,1,FAST,5.2572276,0.052572276,14527.376,22.16735485,2.5,-0.822638899
95,4,N,Y,135,136,NY,2,SLOW,5.2572276,0.052572276,14527.376,22.16735485,135.5,-0.822638899
96,1,P,B,2,5,PB,1,FAST,22.0662185,0.220662185,1076.491,1.642619974,3.5,-0.237635264
96,2,N,B,32,35,NB,2,SLOW,22.0662185,0.220662185,1076.491,1.642619974,33.5,-0.237635264
96,3,P,Y,2,3,PY,1,FAST,5.1637064,0.051637064,13948.01633,21.28330866,2.5,-0.801682193
96,4,N,Y,1,2,NY,1,FAST,5.1637064,0.051637064,13948.01633,21.28330866,1.5,-0.801682193
97,1,P,B,1,2,PB,1,FAST,28.7295393,0.287295393,898.742,1.371392386,1.5,-0.208484305
97,2,N,B,1,2,NB,1,FAST,28.7295393,0.287295393,898.742,1.371392386,1.5,-0.208484305
97,3,P,Y,1,4,PY,1,FAST,9.8138807,0.098138807,15741.64167,24.02020549,2.5,-0.822042916
97,4,N,Y,4,6,NY,1,FAST,9.8138807,0.098138807,15741.64167,24.02020549,5,-0.822042916
98,1,P,B,1,2,PB,1,FAST,15.9486241,0.159486241,2494.326,3.806097505,1.5,-0.565752606
98,2,N,B,1,2,NB,1,FAST,15.9486241,0.159486241,2494.326,3.806097505,1.5,-0.565752606
98,3,P,Y,1,2,PY,1,FAST,4.8214548,0.048214548,16511.18067,25.19444673,1.5,-0.896128907
98,4,N,Y,10,11,NY,2,SLOW,4.8214548,0.048214548,16511.18067,25.19444673,10.5,-0.896128907
99,1,P,B,2,3,PB,1,FAST,19.4431787,0.194431787,3942.826333,6.016367336,2.5,-0.795546547
99,2,N,B,16,18,NB,2,SLOW,19.4431787,0.194431787,3942.826333,6.016367336,17,-0.795546547
99,3,P,Y,2,3,PY,1,FAST,5.2206373,0.052206373,16610.58033,25.3461209,2.5,-0.942519566
99,4,N,Y,18,21,NY,2,SLOW,5.2206373,0.052206373,16610.58033,25.3461209,19.5,-0.942519566
100,1,P,B,50,51,PB,2,SLOW,14.013457,0.14013457,3502.754,5.344859998,50.5,-0.758940776
100,2,N,B,0,0,NB,3,SLOW,14.013457,0.14013457,3502.754,5.344859998,0,-0.758940776
100,3,P,Y,13,32,PY,2,SLOW,6.9343886,0.069343886,16129.68767,24.61232573,22.5,-0.935491469
100,4,N,Y,0,0,NY,3,SLOW,6.9343886,0.069343886,16129.68767,24.61232573,0,-0.935491469
101,1,P,B,1,2,PB,1,FAST,23.7459187,0.237459187,2121.843667,3.237725897,1.5,-0.486281527
101,2,N,B,230,234,NB,2,SLOW,23.7459187,0.237459187,2121.843667,3.237725897,232,-0.486281527
101,3,P,Y,56,59,PY,2,SLOW,3.7258777,0.037258777,16658.951,25.41992981,57.5,-0.881453135
101,4,N,Y,288,290,NY,2,SLOW,3.7258777,0.037258777,16658.951,25.41992981,289,-0.881453135
102,1,P,B,1,2,PB,1,FAST,20.2409864,0.202409864,2151.957667,3.283676916,1.5,-0.494795537
102,2,N,B,11,12,NB,2,SLOW,20.2409864,0.202409864,2151.957667,3.283676916,11.5,-0.494795537
102,3,P,Y,1,10,PY,1,FAST,2.1727557,0.021727557,16033.26433,24.46519315,5.5,-0.879522487
102,4,N,Y,5,10,NY,1,FAST,2.1727557,0.021727557,16033.26433,24.46519315,7.5,-0.879522487
103,1,P,B,1,2,PB,1,FAST,21.2500774,0.212500774,3121.497,4.763099107,1.5,-0.661984485
103,2,N,B,67,68,NB,2,SLOW,21.2500774,0.212500774,3121.497,4.763099107,67.5,-0.661984485
103,3,P,Y,1,3,PY,1,FAST,1.5389402,0.015389402,17735.30967,27.06234785,2,-0.917566636
103,4,N,Y,1,13,NY,1,FAST,1.5389402,0.015389402,17735.30967,27.06234785,7,-0.917566636
104,1,P,B,14,15,PB,2,SLOW,13.1780077,0.131780077,1971.399333,3.008162559,14.5,-0.432537787
104,2,N,B,12,19,NB,2,SLOW,13.1780077,0.131780077,1971.399333,3.008162559,15.5,-0.432537787
104,3,P,Y,2,3,PY,1,FAST,7.5661206,0.075661206,16006.48433,24.42432949,2.5,-0.860944167
104,4,N,Y,9,13,NY,2,SLOW,7.5661206,0.075661206,16006.48433,24.42432949,11,-0.860944167
105,1,P,B,1,10,PB,1,FAST,23.3577776,0.233577776,3145.238667,4.799326569,5.5,-0.761960285
